# Energy [TeV] Flux [(TeV−1 cm−2 s−1 sr−1)]
# [0] Energy [1] Energy up [2] Energy down [3] Flux [4] Syst error [5] Stat error up [6] Stat error down
1.259999999999999964e+01 1.584893192461113287e+01 1.000000000000000000e+01 6.610000000000000107e-13 7.700000000000000007e-14 6.400000000000000497e-14 6.400000000000000497e-14
2.000000000000000000e+01 2.511886431509579509e+01 1.584893192461113287e+01 1.899999999999999982e-13 2.099999999999999887e-14 1.700000000000000014e-14 1.700000000000000014e-14
3.160000000000000142e+01 3.981071705534971272e+01 2.511886431509579509e+01 3.609999999999999890e-14 3.400000000000000028e-15 4.000000000000000311e-15 4.000000000000000311e-15
5.010000000000000142e+01 6.309573444801930009e+01 3.981071705534971272e+01 9.259999999999999797e-15 1.470000000000000024e-15 9.000000000000000305e-16 9.000000000000000305e-16
7.940000000000000568e+01 9.999999999999994316e+01 6.309573444801930009e+01 2.020000000000000086e-15 2.899999999999999791e-16 2.599999999999999847e-16 2.599999999999999847e-16
1.259000000000000057e+02 1.584893192461112505e+02 9.999999999999994316e+01 5.089999999999999879e-16 7.199999999999999899e-17 6.000000000000000121e-17 5.899999999999999729e-17
1.995000000000000000e+02 2.511886431509577164e+02 1.584893192461112505e+02 1.939999999999999969e-16 1.600000000000000114e-17 1.900000000000000059e-17 1.900000000000000059e-17
3.161999999999999886e+02 3.981071705534969283e+02 2.511886431509577164e+02 4.000000000000000286e-17 5.999999999999999659e-18 6.399999999999999842e-18 6.200000000000000135e-18
5.011999999999999886e+02 6.309573444801930009e+02 3.981071705534969283e+02 1.620000000000000008e-17 4.600000000000000175e-18 2.699999999999999885e-18 2.500000000000000179e-18
7.942999999999999545e+02 9.999999999999989768e+02 6.309573444801930009e+02 2.849999999999999857e-18 1.449999999999999988e-18 9.499999999999999524e-19 8.199999999999999701e-19
